scope_level,province,city,district,candidate_count,competition_pool_count,winner_uid,winner,winner_level,winner_private,winner_tags,decision_basis,decision_detail,evidence_strength,status,ranking_system,comparison_group,ranking_id,ranking_edition,ranking_list,ranking_category,ranking_scale_field,ranking_display,ranking_reference,ranking_source_url,location_basis,location_evidence,runner_up_uid,runner_up,runner_up_level,runner_up_system,runner_up_same_scale,unresolved_reason,comparable_candidates,needs_ranking_backfill,notes
district,福建省,漳州市,南靖县,2,2,4135010402,闽南师范大学,本科,no,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 309,309,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,闽南师范大学,no,no comparable second place: the deciding rule set aside the other 1 candidate(s) without leaving anybody on the winner's own scale
district,福建省,漳州市,平和县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,漳州市,芗城区,4,4,4135010402,闽南师范大学,本科,no,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国大学排名（主榜）,,rankOverall,2026软科 309,309,https://www.shanghairanking.cn/rankings/bcur/2026,campus,profile_campus,,,,,no,,闽南师范大学,no,no comparable second place: the deciding rule set aside the other 3 candidate(s) without leaving anybody on the winner's own scale
district,福建省,漳州市,云霄县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,漳州市,漳浦县,1,1,4135014113,漳州科技职业学院,专科,yes,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,shanghairanking-bcvcr-private-vocational,2026,民办高职专科院校排名,,ranking,2026软科民办高职专科 31,31,https://www.shanghairanking.cn/rankings/bcvcr/2026633,campus,profile_campus,,,,,no,,漳州科技职业学院,no,
district,福建省,漳州市,长泰区,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,福建省,漳州市,诏安县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,白银市,白银区,2,2,4162014376,白银矿冶职业技术学院,专科,no,,public_before_private,同层次同标签下公办优先（按当前项目政策，非排名证据）,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,理工,rankOverall,2026软科高职理工 230+ · 高职专科总榜 500+,500+,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,profile_campus,,,,,no,,白银矿冶职业技术学院,yes,no comparable second place: the deciding rule set aside the other 1 candidate(s) without leaving anybody on the winner's own scale
district,甘肃省,白银市,会宁县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,白银市,景泰县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,白银市,靖远县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,白银市,平川区,1,1,4162016209,兰州石化职业技术大学,本科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,2026,中国职业本科大学排名,,ranking,2026软科职业本科大学 38,38,https://www.shanghairanking.cn/rankings/bcvcr/2026749,campus,profile_campus,,,,,no,,兰州石化职业技术大学,no,
district,甘肃省,定西市,安定区,2,2,4162010735,甘肃中医药大学,本科,no,,level_order,本科层次优先于更低层次候选（项目层次政策）,policy,resolved_policy,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国中医药大学排名,中医药,rankOverall,2026软科中医药 25 · 主榜参考 301,301,https://www.shanghairanking.cn/rankings/bcur/2026745,campus,profile_campus,,,,,no,,甘肃中医药大学,no,no comparable second place: the deciding rule set aside the other 1 candidate(s) without leaving anybody on the winner's own scale
district,甘肃省,定西市,临洮县,1,1,4162014823,定西职业技术学院,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,,,,,,,,,,,campus,profile_campus,,,,,no,,定西职业技术学院,no,
district,甘肃省,定西市,陇西县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,定西市,岷县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,定西市,通渭县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,定西市,渭源县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,定西市,漳县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,迭部县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,合作市,2,2,4162010735,甘肃中医药大学,本科,no,,comparable_ranking,甘肃中医药大学 在同榜可比名次上优于 甘肃民族师范学院（软科 bcur）,strong,resolved_strong,shanghairanking-bcur,shanghairanking-bcur,shanghairanking-bcur,2026,中国中医药大学排名,中医药,rankOverall,2026软科中医药 25 · 主榜参考 301,301,https://www.shanghairanking.cn/rankings/bcur/2026745,campus,profile_campus,4162011561,甘肃民族师范学院,本科,shanghairanking-bcur,yes,,甘肃中医药大学|甘肃民族师范学院,no,
district,甘肃省,甘南藏族自治州,临潭县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,碌曲县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,玛曲县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,夏河县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,舟曲县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,甘南藏族自治州,卓尼县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,金昌市,金川区,1,1,4162014375,甘肃有色冶金职业技术学院,专科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,shanghairanking-bcvcr-public-vocational,2026,中国高职专科院校排名（总榜）,理工,rankOverall,2026软科高职理工 230+ · 高职专科总榜 500+,500+,https://www.shanghairanking.cn/rankings/bcvcr/2026623,campus,verified_campus,,,,,no,,甘肃有色冶金职业技术学院,no,
district,甘肃省,金昌市,永昌县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,阿克塞哈萨克族自治县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,敦煌市,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,瓜州县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,金塔县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,肃北蒙古族自治县,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
district,甘肃省,酒泉市,肃州区,1,1,4162012539,酒泉职业技术大学,本科,no,,single_candidate,该行政单元在现行口径下只有 1 个候选，无需比较,policy,resolved_policy,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,shanghairanking-bcvcr-public-vocational-undergraduate,2026,中国职业本科大学排名,,ranking,2026软科职业本科大学 80+,80+,https://www.shanghairanking.cn/rankings/bcvcr/2026749,campus,profile_campus,,,,,no,,酒泉职业技术大学,no,
district,甘肃省,酒泉市,玉门市,0,0,,,,,,,,,no_candidate,,,,,,,,,,,,,,,,,no,,,no,
