高校代码,学校名称,省级地区,主体城市,办学层次,历史招生批次摘要,民办,985,211,双一流,当前状态,参与当前榜单,地图排序参考,软科最新,软科主榜参考,QS最新,THE最新,ARWU最新,校区记录数,县区证据数,可落最低法定边界,录取事实数,最新录取年份,财务事实数,最新财务年份,学校官网
4111010025,首都医科大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 医2,2026软科分类标签 医2,,,,,3,0,是,0,,0,,https://www.ccmu.edu.cn/
4111010026,北京中医药大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 中医1,2026软科分类标签 中医1,,,,,4,0,是,0,,0,,https://www.bucm.edu.cn/
4111010027,北京师范大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科主榜 19,2026软科主榜 19,,,,,3,0,是,0,,0,,https://www.bnu.edu.cn
4111010028,首都师范大学,北京市,北京市,本科,,否,否,否,是,现役候选,是,2026软科主榜 100,2026软科主榜 100,,,,,10,0,是,0,,0,,https://www.cnu.edu.cn/
4111010029,首都体育学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 体3,2026软科分类标签 体3,,,,,1,0,是,0,,0,,https://www.cupes.edu.cn/
4111010030,北京外国语大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 语1,2026软科分类标签 语1,,,,,3,0,是,0,,0,,https://www.bfsu.edu.cn/
4111010031,北京第二外国语学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 语7,2026软科分类标签 语7,,,,,2,0,是,0,,0,,https://www.bisu.edu.cn
4111010032,北京语言大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 语5,2026软科分类标签 语5,,,,,1,0,是,0,,0,,https://www.blcu.edu.cn/
4111010033,中国传媒大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 语3,2026软科分类标签 语3,,,,,2,0,是,0,,0,,https://www.cuc.edu.cn/
4111010034,中央财经大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 财2,2026软科分类标签 财2,,,,,3,0,是,0,,0,,https://www.cufe.edu.cn/
4111010036,对外经济贸易大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 财3,2026软科分类标签 财3,,,,,1,0,是,0,,0,,https://www.uibe.edu.cn/
4111010037,北京物资学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 财22,2026软科分类标签 财22,,,,,1,0,是,0,,0,,https://www.bwu.edu.cn/
4111010038,首都经济贸易大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 财9,2026软科分类标签 财9,,,,,4,0,是,0,,0,,https://www.cueb.edu.cn/
4111010039,中国消防救援学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.cfri.edu.cn
4111010040,外交学院,北京市,北京市,本科,,否,否,否,是,现役候选,是,2026软科分类标签 语4,2026软科分类标签 语4,,,,,2,0,是,0,,0,,https://www.cfau.edu.cn/
4111010041,中国人民公安大学,北京市,北京市,本科,,否,否,否,是,现役候选,是,2026软科分类标签 政4,2026软科分类标签 政4,,,,,3,0,是,0,,0,,https://www.ppsuc.edu.cn/
4111010042,国际关系学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 185,2026软科主榜 185,,,,,2,0,是,0,,0,,https://www.uir.cn
4111010043,北京体育大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 体2,2026软科分类标签 体2,,,,,1,0,是,0,,0,,https://www.bsu.edu.cn/
4111010045,中央音乐学院,北京市,北京市,本科,,否,否,是,是,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.ccom.edu.cn/
4111010046,中国音乐学院,北京市,北京市,本科,,否,否,否,是,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.ccmusic.edu.cn/
4111010047,中央美术学院,北京市,北京市,本科,,否,否,否,是,现役候选,是,,,,,,,5,0,是,0,,0,,https://www.cafa.edu.cn
4111010048,中央戏剧学院,北京市,北京市,本科,,否,否,否,是,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.chntheatre.edu.cn
4111010049,中国戏曲学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.nacta.edu.cn/
4111010050,北京电影学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.bfa.edu.cn
